organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Dr Richard Nguyen,General practice service,83 Miller Road,CHESTER HILL,NSW,AUS,2162,-33.87185287475586,150.99342346191406,
The Pharmacy on Petrie ,Pharmacy service,"Canberra Centre Ground Floor Shop 1-2,148 BUNDA STREET",CITY,ACT,AUS,2601,-35.27978191,149.13293118,
Health First Maryborough,Physiotherapy service,171 Bazaar St,MARYBOROUGH,QLD,AUS,4650,-25.539097,152.703203,
Health First Kincumber,Physiotherapy service,"Unit 9,34 Avoca Dr",KINCUMBER,NSW,AUS,2251,-33.468141,151.382045,
Square One Physiotherapy & Sports Injury Management - Bridgepoint,Physiotherapy service,"Bridgepoint Shopping Centre,Level 1,1/3 Corner Military Road and Brady Street",MOSMAN,NSW,AUS,2088,-33.824440002441406,151.2401885986328,
Elgin House,Physiotherapy service,54 Elgin Street,CARLTON,VIC,AUS,3053,-37.797519,144.972793,
Berkeley Village Pharmacy,Pharmacy service,"Shop 6,10 Lorraine Avenue",BERKELEY VALE,NSW,AUS,2261,-33.339202880859375,151.43222045898438,
Southern Star Medical,General practice service,"Southern River Square Shopping Centre,Shop 2,2 BEERMIER ROAD",SOUTHERN RIVER,WA,AUS,6110,-32.10057564,115.96517298,
Promenade Medical Centre,General practice service,"Unit 1,37 Norton Promenade",DALYELLUP,WA,AUS,6230,-33.397125,115.634849,
Albury Community Health,Mental health service,590 596 Smollett Street,ALBURY,NSW,AUS,2640,-36.0817756652832,146.9119415283203,
Grace Family Practice,General practice service,"Shop 5,10 Hassall Street",SMITHFIELD,NSW,AUS,2164,-33.85043716430664,150.9220428466797,
Pharmacy 777 Applecross,Pharmacy service,777 Canning Highway,APPLECROSS,WA,AUS,6153,-32.0203857421875,115.83454132080078,
John Douglas Priceline Pharmacy - Goulburn,Pharmacy service,"Shop 18,Goulburn Square",GOULBURN,NSW,AUS,2580,-34.75249099731445,149.72125244140625,
Port Kembla Hospital,Occupational therapy service,89 91 Cowper Street,WARRAWONG,NSW,AUS,2502,-34.48591613769531,150.881591796875,
Revolution Fitness,Exercise physiology service,"Goonellabah Sports and Aquatic Center,50 Oliver Avenue",GOONELLABAH,NSW,AUS,2480,-28.8216495513916,153.32879638671875,
Seer Medical - Cranbourne,Neurology service,"Cranbourne Specialist Centre,Suite 2,146 High St",CRANBOURNE,VIC,AUS,3977,-38.108265,145.283638,
Savemore Discount Chemist Marrickville,Pharmacy service,311 Illawarra Road,MARRICKVILLE,NSW,AUS,2204,-33.91212095,151.15516053,
PhysioWorks  - Clayfield,Physiotherapy service,"Clayfield Specialist Centre,789 Sandgate Road",CLAYFIELD,QLD,AUS,4011,-27.416820526123047,153.05850219726562,
Western Plains Pharmacy,Pharmacy service,"Shop 1,62 Windsor Parade",DUBBO,NSW,AUS,2830,-32.25444030761719,148.63092041015625,
Allsports Physiotherapy and Sports Medicine Clinic - Kangaroo Point,Physiotherapy service,"Level 2 Suite 5,22 Baildon Street",KANGAROO POINT,QLD,AUS,4169,-27.468395233154297,153.0362091064453,
Insight Psychology Mackay,Psychology service,"Level 1,162 VICTORIA STREET",EAST MACKAY,QLD,AUS,4740,-21.14042999,149.18437129,
Parkmore Central Pharmacy,Pharmacy service,"Parkmore Shopping Centre,Shop R09,317 Cheltenham Road",KEYSBOROUGH,VIC,AUS,3173,-37.992649,145.172989,
Toowoomba Exercise Physiology,Exercise physiology service,"The Fit Lab,231 James Street",TOOWOOMBA,QLD,AUS,4350,-27.567035675048828,151.94650268554688,
Glenroy Medical Centre,General practice service,1 Post Office Place,GLENROY,VIC,AUS,3046,-37.704532623291016,144.916748046875,
Exercise Physiology Brisbane,Exercise physiology service,232 Kelvin Grove Road,KELVIN GROVE,QLD,AUS,4059,-27.449068069458008,153.01058959960938,
Fitzroy St Physiotherapy,Physiotherapy service,"Shop 8,119 Kendal Street",COWRA,NSW,AUS,2794,-33.83504869901406,148.69180639275777,
Beacon Cove Pharmacy,Pharmacy service,19 Centre  Avenue,PORT MELBOURNE,VIC,AUS,3207,-37.83646,144.919723,
Kalgoorlie - Boulder Mental Health Service,Adult mental health service,"Kalgoorlie Health Campus,Corner Maritana and Piccadilly Street",PICCADILLY,WA,AUS,6430,-30.741100311279297,121.46832275390625,
The Wellness Team,Physiotherapy service,1297 Gympie Road,ASPLEY,QLD,AUS,4034,-27.36503,153.01754,
Waterfront Health Studio,Physiotherapy service,"Ground Floor  Unit 3-4,6 Moorabool Street",GEELONG,VIC,AUS,3220,-38.14453887939453,144.361572265625,
ProMind Psychology,Psychology service,62 Henley Beach Road,MILE END,SA,AUS,5031,-34.9231361,138.5721185,
healthSAVE Blackburn North Pharmacy,Pharmacy service,"North Blackburn Square,Shop 33,66-104 Springfield Road",BLACKBURN,VIC,AUS,3130,-37.81140899658203,145.15298461914062,
Hillston Medical Centre,General practice service,48C Burns Street,HILLSTON,NSW,AUS,2675,-33.478729248046875,145.53952026367188,
Valerie Brown Psychology - Sale,Psychology service,37 Inglis Street,SALE,VIC,AUS,3850,-38.1085090637207,147.0875244140625,
Cannon Hill Medical Centre,General practice service,968 Wynnum Road,CANNON HILL,QLD,AUS,4170,-27.468170166015625,153.09019470214844,
Sounds Right Speech Pathology,Speech and language therapy service,"UNIT 3,20 SCHOLAR DRIVE",BUNDOORA,VIC,AUS,3083,-37.68317389,145.07348733,
Karen Stewart Clarity of Self Counselling & Psychotherapy,Psychology service,"Upstairs at Griffith shops,14 Barker St",GRIFFITH,ACT,AUS,2603,-35.327801,149.142535,
Supporting Parents,Psychology service,"Suite 2,242 Hawthorn Road",CAULFIELD NORTH,VIC,AUS,3161,-37.87971878051758,145.02308654785156,
"Jessica Ruescher, Dietitian - Beaconsfield",Dietetics service,"Essence of Eating, Fremantle Family Doctors,Suite 15,115 Lefroy Road",BEACONSFIELD,WA,AUS,6162,-32.06741714477539,115.77458190917969,
Medowie Physiotherapy,Physiotherapy service,"Medowie Physiotherapy,777 Medowie Road",MEDOWIE,NSW,AUS,2318,-32.740966796875,151.86727905273438,
New Horizons - Miller,Mental health service,4 Lady Woodward Place,MILLER,NSW,AUS,2168,-33.92031478881836,150.88255310058594,
Terrywhite Chemmart Aldinga Beach,Pharmacy service," Shop 1,Lot 1 Main South Road",ALDINGA BEACH,SA,AUS,5173,-35.26583216775469,138.48444619501805,
Southlands Medical Clinic Penrith,General practice service,218 Derby Street,PENRITH,NSW,AUS,2750,-33.757259368896484,150.69627380371094,
New View Psychology Clifton Hill,Psychology service,177 Queens Parade,CLIFTON HILL,VIC,AUS,3068,-37.788617,144.991856,
Newport Medical Centre,General practice service,"Unit 5,1 Kalinya Street",NEWPORT,NSW,AUS,2106,-33.66040802001953,151.31002807617188,
Movement For Life Physiotherapy - Coconut Grove,Physiotherapy service,"Tropicus Centre,6 Caryota Court",COCONUT GROVE,NT,AUS,0810,-12.39998722076416,130.85174560546875,
Mary Guthrie House Nursing Home,Neurology service,"Royal Talbot Rehab Centre,1 Yarra Boulevard",KEW,VIC,AUS,3101,-37.78955078125,145.02308654785156,
New View Psychology,Psychology service,70A Bulla Road,STRATHMORE,VIC,AUS,3041,-37.73757553100586,144.90638732910156,
Anglicare Central Queensland - Gladstone,Mental health service,50 Young Street,GLADSTONE,QLD,AUS,4680,-23.85036849975586,151.26528930664062,
Pro Active Health - West Lakes,Exercise physiology service,111 WEST LAKES BOULEVARD,WEST LAKES,SA,AUS,5021,-34.87943359,138.49140101,
DRA Safety Specialists,Occupational therapy service,"Unit 14,142 Siganto Drive",HELENSVALE,QLD,AUS,4212,-27.89350128173828,153.3154296875,
The Hastings Clinic,General practice service,44 Victoria Street,HASTINGS,VIC,AUS,3915,-38.30625915527344,145.19015502929688,
Night and Day Pharmacy Bayswater,Pharmacy service,"Unit 1-2,490 Walter Road",BAYSWATER,WA,AUS,6053,-31.894729614257812,115.9283676147461,
Jody Clayton Speech Pathology,Speech and language therapy service,3 Rosemary Row,MENAI,NSW,AUS,2234,-34.0199089050293,151.01834106445312,
Physio Freedom - Warrnambool,Physiotherapy service,14 Smith Avenue,WARRNAMBOOL,VIC,AUS,3280,-38.386783599853516,142.48280334472656,
Chemist Warehouse - Bairnsdale,Pharmacy service,458 Main Street,BAIRNSDALE,VIC,AUS,3875,-37.829742431640625,147.61236572265625,
Orchardtown Road Family Practice,General practice service,53 Orchardtown Road,NEW LAMBTON,NSW,AUS,2305,-32.93340301513672,151.70730590820312,
Mountain Gate Pharmasave Pharmacy,Pharmacy service,"Mountain Gate Shopping Centre,Shop 28-29,1880 Ferntree Gully Road",FERNTREE GULLY,VIC,AUS,3156,-37.8838996887207,145.2742462158203,
Flourish & Thrive Psychology,Psychology service,"Level 1,37 Bemersyde Drive",BERWICK,VIC,AUS,3806,-38.05202865600586,145.34832763671875,
Mind Moves PSYCH Solutions,Mental health service,44 52 Downie Avenue,BUCASIA,QLD,AUS,4750,-21.036367416381836,149.1573944091797,
Direct Chemist Outlet Lalor,Pharmacy service,340 Station Street,LALOR,VIC,AUS,3075,-37.67277908325195,145.0164031982422,
Ramsey Pharmacy - Gladstone,Pharmacy service,24 Gladstone Street,GLADSTONE,SA,AUS,5473,-33.26858139038086,138.3565216064453,
Acland Court Priceline Pharmacy,Pharmacy service,160 Acland Street,ST KILDA,VIC,AUS,3182,-37.86910629272461,144.98060607910156,
Woolooware Physiotherapy And Sports Injury Clinic,Physiotherapy service,40 Wills Road,WOOLOOWARE,NSW,AUS,2230,-34.04594421386719,151.1452178955078,
Made It Clinic,Psychology service,6/58-60 Torquay Road,PIALBA,QLD,AUS,4655,-38.184632947259054,144.34466733342654,
Macquarie Street Clinic,General practice service,"Agriculture House,Level 1,195 MacQuarie Street",SYDNEY,NSW,AUS,2000,-33.8671875,151.21202087402344,
TerryWhite Chemmart Stepney,Pharmacy service,26 Payneham Road,STEPNEY,SA,AUS,5069,-34.91398302,138.62468807,
Ramsay Pharmacy Wishart,Pharmacy service,"(next to Wishart Medical Centre),590 Mt Gravatt-Capalaba Road",WISHART,QLD,AUS,4122,-27.5488338470459,153.1073760986328,
Amcal Cannington,Pharmacy service,"Westfield Carousel,SHOP 1001-3,1382 Albany Highway",CANNINGTON,WA,AUS,6107,-32.01877976,115.93843156,
headspace Mount Barker,Mental health service,18 Walker St,MOUNT BARKER,SA,AUS,5251,-35.06816,138.858296,
Subiaco Psychology,Psychology service,"Unit 4,1 Sheen Street",SUBIACO,WA,AUS,6008,-31.9426096,115.8240276,
Guildford Road Pharmacy,Pharmacy service,268A Guildford Road,GUILDFORD,NSW,AUS,2161,-33.854496002197266,150.98814392089844,
Laura Food Coach,Dietetics service,"This is Life Wellness,109 Brighton Road",ELWOOD,VIC,AUS,3184,-37.87348,144.99,
The Salisbury Medical Group,General practice service,90 Salisbury Street,BEDFORD,WA,AUS,6052,-31.91645050048828,115.891357421875,
Hospital Foyer Pharmacy,Pharmacy service,"Randwick Hospital Campus,Ground Floor  Shop 6,Barker Street",RANDWICK,NSW,AUS,2031,-33.92127227783203,151.23939514160156,
Priceline Pharmacy - Taree,Pharmacy service,171 Victoria Street,TAREE,NSW,AUS,2430,-31.9133358001709,152.4604949951172,
Umina Chemsave Chemist,Pharmacy service,299 West Street,UMINA BEACH,NSW,AUS,2257,-33.52119445800781,151.31906127929688,
Pat Zirilli Amcal Chemist,Pharmacy service,398-400 Banna Avenue,GRIFFITH,NSW,AUS,2680,-34.28792190551758,146.0425567626953,
Dr Angela Lee - Psychiatrist,Psychology service,"Consulting Suites Beleura Private Hospital,Suite 4,925 Nepean Highway",MORNINGTON,VIC,AUS,3931,-38.225433349609375,145.0496368408203,
Pharmacy 4 Less Frankston,Pharmacy service,"Bayside Shopping Centre,Shop 159,28 Beach Street",FRANKSTON,VIC,AUS,3199,-38.139957427978516,145.12481689453125,
Ramsay Pharmacy Medical On Miami,Pharmacy service,2125 Gold Coast Highway,MIAMI,QLD,AUS,4220,-28.066245069709346,153.44025908078908,
Chemist Warehouse - Marrickville,Pharmacy service,"Shop 3,258 Illawarra Road",MARRICKVILLE,NSW,AUS,2204,-33.911094665527344,151.1549835205078,
Tingalpa Family Health Care Centre,General practice service,1476 Wynnum Road,TINGALPA,QLD,AUS,4173,-27.47418785095215,153.12228393554688,
Sheila Norman Children's Occupational Therapist,Occupational therapy service,10 Malcolm Road,QUEANBEYAN,NSW,AUS,2620,-35.36494064331055,149.2354736328125,
Critical Components,Psychology service,"Woodsons Arcade,UNIT 37,13 CANTONMENT STREET",FREMANTLE,WA,AUS,6160,-32.05341,115.74701,
Grove Family Health,General practice service,281 Torquay Road,GROVEDALE,VIC,AUS,3216,-38.2060469,144.3377884,
Hawker Medical Centre,General practice service,9 Druid Range Drive,HAWKER,SA,AUS,5434,-31.89397430419922,138.42849731445312,
Ourimbah Surgery,General practice service,61 Pacific Highway,OURIMBAH,NSW,AUS,2258,-33.3592529296875,151.3689422607422,
Shauna Brandon Speech Pathologist,Speech and language therapy service,3 Darter Court,SORRENTO,WA,AUS,6020,-31.823585510253906,115.7558822631836,
Women's Works Physiotherapy,Physiotherapy service,"Shop 6,7-9 St Georges Crescent",FAULCONBRIDGE,NSW,AUS,2776,-33.694088,150.536037,
Emilie Grima,Occupational therapy service,110 Sydney Street,MACKAY,QLD,AUS,4740,-21.148646,149.185967,
Adventure Physio,Physiotherapy service,"UNIT 8,36 PORT KEMBLA DRIVE",BIBRA LAKE,WA,AUS,6163,-32.09978,115.80088,
Braidwood Medical Centre,General practice service,73 A Monkittee Street,BRAIDWOOD,NSW,AUS,2622,-35.44375077,149.80567466,
The Prahran Clinic,General practice service,244 Malvern Road,PRAHRAN,VIC,AUS,3181,-37.847305,144.995255,
Mowbray Park Medical & Dermatology,General practice service,"Suite 101,33 LYTTON ROAD",EAST BRISBANE,QLD,AUS,4169,-27.47951285,153.04265209,
Mansfield Physioworks,Physiotherapy service,296 Newnham Road,WISHART,QLD,AUS,4122,-27.546951293945312,153.09201049804688,
Windorah Primary Health Centre - Occupational Therapy Clinic,Occupational therapy service,15 Victoria Street,WINDORAH,QLD,AUS,4481,-25.420345306396484,142.65472412109375,
Beyond Now Psychology,Psychology service,220 Brunker Road,ADAMSTOWN,NSW,AUS,2289,-32.93343,151.72572,
Queen Street Physiotherapy,Physiotherapy service,"Level 5,215 Queen Street",BRISBANE CITY,QLD,AUS,4000,-27.468547821044922,153.02664184570312,
Strathalbyn Medical Clinic,General practice service,24 West Tce,STRATHALBYN,SA,AUS,5255,-35.257585,138.888098,
Pro Active Health - Mount Gambier ,Exercise physiology service,"24 Fit,Unit 1,33 James St",MOUNT GAMBIER,SA,AUS,5290,-37.82828395,140.77476817,
Restore Medical and Skin Cancer Centre,General practice service,"Unit 1,22 KING STREET",GRAFTON,NSW,AUS,2460,-29.68959249,152.93341051,
Canberra Hospital - Neurosurgery,Neurosurgical service,"Level 2 Building 6,Yamba Drive",GARRAN,ACT,AUS,2605,-35.34317398071289,149.0979461669922,
Lake Cargelligo Family Practice,General practice service,Cnr Bridge and Canada Street,LAKE CARGELLIGO,NSW,AUS,2672,-33.29523468017578,146.3737335205078,
Physio SA,Physiotherapy service,64 Portrush Road,PAYNEHAM,SA,AUS,5070,-34.901580810546875,138.63999938964844,
Vitalis Family Medical Practice,General practice service,550 Princes Highway,KIRRAWEE,NSW,AUS,2232,-34.032474517822266,151.0753173828125,
Wodonga Medical Centre,General practice service,"Reserve,79 High St",WODONGA,VIC,AUS,3690,-36.118955,146.887939,
Energise Physiotherapy - Osborne Park,Physiotherapy service,461 Scarborough Beach Road,OSBORNE PARK,WA,AUS,6017,-31.906187057495117,115.80842590332031,
Pharmacy 777 Connolly,Pharmacy service,"Connolly Shopping Centre,Shop 5,1 Glenelg Place",CONNOLLY,WA,AUS,6027,-31.75301170349121,115.75106811523438,
Gum Tree Family Medical,General practice service,"Suites 1-4,1 Gum Tree Drive",GOONELLABAH,NSW,AUS,2480,-28.81065376989711,153.3440053680072,
St Leonards Pharmacy,Pharmacy service,1374 Murradoc Road,ST LEONARDS,VIC,AUS,3223,-38.171417236328125,144.71759033203125,
Keeping U On Track,Psychology service,1 Waratah Road,ENGADINE,NSW,AUS,2233,-34.06415,151.01132,
Lori Rainford Paediatric Speech Pathology,Speech and language therapy service,"Unit 1,55 Hampden Road",NEDLANDS,WA,AUS,6009,-31.974319458007812,115.81314849853516,
Integral Performance Exercise Physiology - Springwood Clinic,Exercise physiology service,"Indacom Central,Suite 14, Level 2 ,6-8 VANESSA BOULEVARD",SPRINGWOOD,QLD,AUS,4127,-27.61560361,153.12584689,
Bayside Community Pharmacy - Redland Bay,Pharmacy service,"Red Edge Convenience Centre,Shop 9,32 Cypress Street",REDLAND BAY,QLD,AUS,4165,-27.6292823,153.295482,
Physio Gift,Physiotherapy service,"Shop 1,43 Grantham Street",RIVERSTONE,NSW,AUS,2765,-33.65591108929198,150.87018846885064,
Brisbane Musculoskeletal Medicine,Pain management service,1 Swann Road,TARINGA,QLD,AUS,4068,-27.493839263916016,152.97756958007812,
Upwey Psychology,Psychology service,20 Fairy Dell Road,TECOMA,VIC,AUS,3160,-37.91083,145.34177,Yes
Stenvers Terreen (APD),Dietetics service,367 Canning Highway,PALMYRA,WA,AUS,6157,-32.03544998168945,115.78956604003906,
Balmoral Bush Nursing Centre,General practice service,"Balmoral Bush Nursing Centre,26-28 Bell Street",BALMORAL,VIC,AUS,3407,-37.24941635131836,141.8411865234375,
Holistic Health & Herbs,Nutrition service,45 Zadoc Street,LISMORE,NSW,AUS,2480,-28.806699752807617,153.2815704345703,
Dr Ashley Wong Hoy - Psychologist,Psychology service,"Richmond Cottages,12 Bridge Street",RICHMOND,TAS,AUS,7025,-42.73786926269531,147.43267822265625,
Tarneit Discount Drug Store,Pharmacy service,"Tarneit Central Shopping Centr,Shop 14,540 Derrimut Road",TARNEIT,VIC,AUS,3029,-37.83661857,144.69299688,
PowerBuild Physiotherapy,Physiotherapy service,2 Leonard Ave,NOBLE PARK,VIC,AUS,3174,-37.967344,145.175904,
Muse Psychology,Psychology service,"UNIT 4,1026-1032 OLD PRINCES HIGHWAY",ENGADINE,NSW,AUS,2233,-34.06467842,151.01437972,
Optimum Intake Dietitians - EAST MAITLAND,Dietetics service,"Hunter Valley Specialist Centre,251 Newcastle Street",EAST MAITLAND,NSW,AUS,2323,-32.754544,151.587809,
Physio Plus - Footscray,Physiotherapy service,"Whitten Oval,417 Barkly Street",FOOTSCRAY,VIC,AUS,3011,-37.80014419555664,144.88662719726562,
Your Chemist Shop Fletcher,Pharmacy service,221 Minmi Road,FLETCHER,NSW,AUS,2287,-32.87673895,151.64660822,
Psychologists' Corner,Psychology service,"Building C5 -Point Cook Town Centre,Level 1 Suite 307,2 Main Street",POINT COOK,VIC,AUS,3030,-37.88395309448242,144.73548889160156,
PSYCH Solutions NT,Psychology service,36 Baroalba Street,LEANYER,NT,AUS,0812,-12.37713623046875,130.89947509765625,
Peter Charleston,Psychology service,"Domain Corporate,Level 2 Suite 210,370 St Kilda Road",MELBOURNE,VIC,AUS,3004,-37.831802,144.97112,
Corio Bay Sports Medicine Centre - Geelong,Dietetics service,283 Latrobe Terrace,GEELONG,VIC,AUS,3220,-38.15095138549805,144.3524169921875,
Body Balancing Nutrition,Dietetics service,22 Emerald Terrace,WEST PERTH,WA,AUS,6005,-31.9496371,115.8432344,
Eacham Medical Centre,General practice service,17 Catherine Street,MALANDA,QLD,AUS,4885,-17.35369300842285,145.59375,
"Centre for Eating, Weight and Body Image",Psychology service,"Suite 215,100 Victoria Parade",EAST MELBOURNE,VIC,AUS,3002,-37.8085775706384,144.9748977711897,
Mediclinic Darwin,General practice service,"Shop 5,13 Cavenagh Street",DARWIN,NT,AUS,0800,-12.463605880737305,130.84375,
Priceline Pharmacy - Sunbury Square,Pharmacy service,"Sunbury Square Shopping Centre,Shop 14-16,2 Evans Street",SUNBURY,VIC,AUS,3429,-37.57785415649414,144.72982788085938,
Jill Prowse - Psychologist,Psychology service,257 High Street,ECHUCA,VIC,AUS,3564,-36.14459228515625,144.75180053710938,
Kowanyama RFDS General Practice Service,General practice service,"Kowanyama Primary Health Care Centre,1 Carrington Street",KOWANYAMA,QLD,AUS,4892,-15.475990295410156,141.74639892578125,
Lake Cathie Medical Centre Pharmacy,Pharmacy service,"Lake Cathie Health Complex,Suite 25,1459 Ocean Drive",LAKE CATHIE,NSW,AUS,2445,-31.562511444091797,152.84556579589844,
Willmott Family Practice,General practice service,125 Mt Pleasant Street,MAITLAND,NSW,AUS,2320,-32.724483489990234,151.5445098876953,
Parkside Family Practice,General practice service,321 Fullarton Road,PARKSIDE,SA,AUS,5063,-34.95092010498047,138.62503051757812,
Provincial Medical Centre,General practice service,"St Clair Shopping Centre,Shop 21,155 Bennett Road",ST CLAIR,NSW,AUS,2759,-33.79376983642578,150.78909301757812,
Yea Physiotherapy and Sports Injury Clinic,Physiotherapy service,20 Miller Street,YEA,VIC,AUS,3717,-37.21359634399414,145.4309539794922,
Physio Fitness - Bondi Junction,Physiotherapy service,"The Atrium,Level 6 Suite 602,28 Spring Street",BONDI JUNCTION,NSW,AUS,2022,-33.891868591308594,151.24655151367188,
St Lucia Sports & Spinal Physiotherapy,Physiotherapy service,"Building 21C UQU Complex,Level 1,Union Road",ST LUCIA,QLD,AUS,4067,-27.4972870339939,153.015971465312,
David Joyce,Psychology service,"Head First Psychological Services,Suite 1B,57 - 59 Renwick St",LEICHHARDT,NSW,AUS,2040,-33.88637,151.156944,
Logan City Pharmacy,Pharmacy service,"Logan City Centre,Shop 64,2-24 Wembley Road",LOGAN CENTRAL,QLD,AUS,4114,-27.643585205078125,153.1173095703125,
Absolute Injury Solutions,Occupational therapy service,"Suite 107,16 Kenrick Street",THE JUNCTION,NSW,AUS,2291,-32.93791580200195,151.7601776123047,
Doonan Physio,Physiotherapy service,75 Paradise Drive,WEYBA DOWNS,QLD,AUS,4562,-26.438037872314453,153.0546417236328,
Smart Street Pharmacy,Pharmacy service,"Unit 3,49 Smart Street",FAIRFIELD,NSW,AUS,2165,-33.86946374,150.95561265,
Carlyle Gardens Chemist,Pharmacy service,"Shop 3,102 Woongarra Scenic Drive",BARGARA,QLD,AUS,4670,-24.83327865600586,152.47073364257812,
Murrin Bridge Aboriginal Health Service,General practice service,10 Foster Street,LAKE CARGELLIGO,NSW,AUS,2672,-33.29878616333008,146.3752899169922,
Bob's Chemist Newtown,Pharmacy service,"Unit 1,359 King Street",NEWTOWN,NSW,AUS,2042,-33.898681640625,151.17750549316406,
Greysmed Practice Pty Ltd,General practice service,704 Merrylands Road,GREYSTANES,NSW,AUS,2145,-33.829952239990234,150.9503936767578,
Belconnen Talk Therapy,Psychology service,"UNIT 107,4 Henshall Way",MACQUARIE,ACT,AUS,2614,-35.25437,149.070522,
Flourish Care - Mitcham,General practice service,"Mitcham Private Hospital,29 DONCASTER EAST ROAD",MITCHAM,VIC,AUS,3132,-37.81047027,145.19483424,
Balaclava-St Kilda Physiotherapy Centre,Physiotherapy service,87 Hotham Street,BALACLAVA,VIC,AUS,3183,-37.867713928222656,144.99937438964844,
Insight Dietetics Richmond ,Dietetics service,400 BURNLEY STREET,RICHMOND,VIC,AUS,3121,-37.82611792,145.00689938,
Victoria Medical Centre,General practice service,"Corner of Acland and Victoria Streets,21 Acland Street",ST KILDA,VIC,AUS,3182,-37.863460540771484,144.9745635986328,
Tim Siv's TerryWhite Chemmart Compounding Pharmacy Clare,Pharmacy service,261 Main Street,CLARE,SA,AUS,5453,-33.8331413269043,138.61167907714844,
Guardian Pharmacy Belconnen,Pharmacy service,"Level 1,20 Benjamin Way",BELCONNEN,ACT,AUS,2617,-35.238308,149.065215,
Gillian Groom - Occupational Therapist,Occupational therapy service,47 Sandy Bay Road,BATTERY POINT,TAS,AUS,7004,-42.889808654785156,147.3297576904297,
NewMe,Exercise physiology service,"Linkway Commercial Centre,Shop 4,1 Metier Linkway",BIRTINYA,QLD,AUS,4575,-26.731718063354492,153.1206817626953,
Ranges Psychological Services - Kyneton,Adult mental health service,"Campanile Family Practice,7-25 Caroline Chishom Drive",KYNETON,VIC,AUS,3444,-37.25440216064453,144.46917724609375,
ProCare Mental Health Services,Psychology service,22 Turton Road,WARATAH,NSW,AUS,2298,-32.90313720703125,151.72891235351562,
Bardens Amcal Chemist Galleria Mall,Pharmacy service,"Shop 1-2,37 Smith Street",DARWIN,NT,AUS,0800,-12.463348388671875,130.84201049804688,
Northside Psychology - Belconnen,Psychology service,"Suite 3, Level 4,40 CAMERON AVENUE",BELCONNEN,ACT,AUS,2617,-35.24184053,149.07167512,
Allison Elvish Occupational Therapy,Occupational therapy service,Confidential Address,BAR BEACH,NSW,AUS,2300,-32.94022,151.76596,
Sharon Marcus Psychology,Psychology service,371 Canterbury Road,SURREY HILLS,VIC,AUS,3127,-37.82455062866211,145.0876007080078,
Woolgoolga Physiotherapy & Sports Injury Centre,Physiotherapy service,"Shop 1,27 River Street",WOOLGOOLGA,NSW,AUS,2456,-30.115554809570312,153.19313049316406,
Federation University Health Centre,General practice service,"T North, Health Centre,1 Chancellor Drive",MOUNT HELEN,VIC,AUS,3350,-37.626861572265625,143.89186096191406,
Family Medical & Dental Clinic,General practice service,75 Stud Road,DANDENONG,VIC,AUS,3175,-37.9781608581543,145.22171020507812,
Liverpool Doctors Medical Centre (George Street),General practice service,"Level 1 Suite 3,215-219 George Street",LIVERPOOL,NSW,AUS,2170,-33.92318344116211,150.92459106445312,
Sequentia Psychology,Clinical psychology service,217 Milleara Road,KEILOR EAST,VIC,AUS,3033,-37.7473258972168,144.8623046875,
Insight Pain Clinic,Pain management service,16A GREGORY STREET,SANDY BAY,TAS,AUS,7005,-42.89565334,147.32623695,
Dandenong Cardiology Group,Neurology service,35 King Street,DANDENONG,VIC,AUS,3175,-37.98310470581055,145.21926879882812,
Core Essentials Studio,Physical and rehabilitation medicine service,"Suite 1A,15 Lake Street",VARSITY LAKES,QLD,AUS,4227,-28.07731056213379,153.4142303466797,
Insync Health Clinic,Physiotherapy service,398 MARRICKVILLE ROAD,MARRICKVILLE,NSW,AUS,2204,-33.90870793,151.15158783,
Hughes Family Practice,General practice service,3 McNicoll Street,HUGHES,ACT,AUS,2605,-35.33414077758789,149.09486389160156,
Toora Pharmacy,Pharmacy service,1 Foster Road,TOORA,VIC,AUS,3962,-38.661781311035156,146.3251190185547,
Kambu Aboriginal and Torres Strait Islander Corporation for Health - Goodna Clinic,General practice service,13 Church Street,GOODNA,QLD,AUS,4300,-27.611111,152.89844,
Simple Nutrition,Dietetics service,"Assure Health Medical Centre,Shop 1 & 2,35 Main Road",ST ALBANS,VIC,AUS,3021,-37.744725,144.799598,
Lake Albert Pharmacy,Pharmacy service,"Lake Village Shopping Centre,Shop 7,39 Gregory Crescent",WAGGA WAGGA,NSW,AUS,2650,-35.167232513427734,147.38314819335938,
Winton Hospital and Multipurpose Health Service - Dietetics Clinic,Dietetics service,"Winton Hospital,70 Oondooroo Street",WINTON,QLD,AUS,4735,-22.381813,143.040359,
Prime Family Medical Centre,General practice service,515 Warrigal Road,ASHWOOD,VIC,AUS,3147,-37.86491012573242,145.09324645996094,
Hazel Burscough ISIS Psychology Services,Psychology service,14 Branyan Street,BUNDABERG,QLD,AUS,4670,-24.872299194335938,152.3415985107422,
Diet Yumm - South Morang,Dietetics service,"Lakes Boulevard Dental,1063 Plenty Road",SOUTH MORANG,VIC,AUS,3752,-37.632713317871094,145.09561157226562,
Andrea Dahl-Johnston - Speech Pathologist,Speech and language therapy service,Confidential Address,BROOKLYN PARK,SA,AUS,5032,-34.93108367919922,138.5475616455078,
